name,alias,Registrierte E-Mail-Adresse der Gruppe,Beschreibung,public_url,backend_url
Stamm Adler,adler,adler@nds.pfadfinden.de,Stamm Adler,https://ticket.pfadfinderei.de/lapfila/adler/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/adler
Stamm Aldenburg,aldenburg,aldenburg@nds.pfadfinden.de,Stamm Aldenburg,https://ticket.pfadfinderei.de/lapfila/aldenburg/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/aldenburg
Stamm Altai Maral,altaimaral,altaimaral@nds.pfadfinden.de,Stamm Altai Maral,https://ticket.pfadfinderei.de/lapfila/altaimaral/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/altaimaral
Stamm Amelungen,amelungen,amelungen@nds.pfadfinden.de,Stamm Amelungen,https://ticket.pfadfinderei.de/lapfila/amelungen/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/amelungen
Stamm Askanier,askanier,askanier@nds.pfadfinden.de,Stamm Askanier,https://ticket.pfadfinderei.de/lapfila/askanier/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/askanier
Stamm Ataulf,ataulf,ataulf@nds.pfadfinden.de,Stamm Ataulf,https://ticket.pfadfinderei.de/lapfila/ataulf/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/ataulf
Stamm Birkhahn,birkhahn,birkhahn@nds.pfadfinden.de,Stamm Birkhahn,https://ticket.pfadfinderei.de/lapfila/birkhahn/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/birkhahn
Stamm Eiche,eiche,eiche@nds.pfadfinden.de,Stamm Eiche,https://ticket.pfadfinderei.de/lapfila/eiche/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/eiche
Stamm Germanen,germanen,germanen@nds.pfadfinden.de,Stamm Germanen,https://ticket.pfadfinderei.de/lapfila/germanen/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/germanen
Stamm Graf Walo,grafwalo,grafwalo@nds.pfadfinden.de,Stamm Graf Walo,https://ticket.pfadfinderei.de/lapfila/grafwalo/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/grafwalo
Stamm Großer Jäger,grosserjaeger,grosserjaeger@nds.pfadfinden.de,Stamm Großer Jäger,https://ticket.pfadfinderei.de/lapfila/grosserjaeger/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/grosserjaeger
Stamm Hasko,hasko,hasko@nds.pfadfinden.de,Stamm Hasko,https://ticket.pfadfinderei.de/lapfila/hasko/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/hasko
Stamm Helmburgis,helmburgis,helmburgis@nds.pfadfinden.de,Stamm Helmburgis,https://ticket.pfadfinderei.de/lapfila/helmburgis/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/helmburgis
Stamm Horse,horse,horse@nds.pfadfinden.de,Stamm Horse,https://ticket.pfadfinderei.de/lapfila/horse/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/horse
Stamm Leviatan,leviatan,leviatan@nds.pfadfinden.de,Stamm Leviatan,https://ticket.pfadfinderei.de/lapfila/leviatan/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/leviatan
Stamm Likedeeler,likedeeler,likedeeler@nds.pfadfinden.de,Stamm Likedeeler,https://ticket.pfadfinderei.de/lapfila/likedeeler/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/likedeeler
Stamm Lunen,lunen,lunen@nds.pfadfinden.de,Stamm Lunen,https://ticket.pfadfinderei.de/lapfila/lunen/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/lunen
Stamm Nujakin,nujakin,nujakin@nds.pfadfinden.de,Stamm Nujakin,https://ticket.pfadfinderei.de/lapfila/nujakin/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/nujakin
Stamm Ordensritter,ordensritter,ordensritter@nds.pfadfinden.de,Stamm Ordensritter,https://ticket.pfadfinderei.de/lapfila/ordensritter/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/ordensritter
Stamm Östringen,oestringen,oestringen@nds.pfadfinden.de,Stamm Östringen,https://ticket.pfadfinderei.de/lapfila/oestringen/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/oestringen
Stamm Parzival,parzival,parzival@nds.pfadfinden.de,Stamm Parzival,https://ticket.pfadfinderei.de/lapfila/parzival/,https://ticket.pfadfinderei.de/api/v1/organizers/lapfila/parzival
