name;alias;Registrierte E-Mail-Adresse der Gruppe;Beschreibung
Stamm Adler;adler;adler@nds.pfadfinden.de;Stamm Adler
Stamm Aldenburg;aldenburg;aldenburg@nds.pfadfinden.de;Stamm Aldenburg
Stamm Altai Maral;altaimaral;altaimaral@nds.pfadfinden.de;Stamm Altai Maral
Stamm Amelungen;amelungen;amelungen@nds.pfadfinden.de;Stamm Amelungen
Stamm Askanier;askanier;askanier@nds.pfadfinden.de;Stamm Askanier
Stamm Ataulf;ataulf;ataulf@nds.pfadfinden.de;Stamm Ataulf
Stamm Birkhahn;birkhahn;birkhahn@nds.pfadfinden.de;Stamm Birkhahn
Stamm Eiche;eiche;eiche@nds.pfadfinden.de;Stamm Eiche
Stamm Germanen;germanen;germanen@nds.pfadfinden.de;Stamm Germanen
Stamm Graf Walo;grafwalo;grafwalo@nds.pfadfinden.de;Stamm Graf Walo
Stamm Großer Jäger;grosserjaeger;grosserjaeger@nds.pfadfinden.de;Stamm Großer Jäger
Stamm Hasko;hasko;hasko@nds.pfadfinden.de;Stamm Hasko
Stamm Helmburgis;helmburgis;helmburgis@nds.pfadfinden.de;Stamm Helmburgis
Stamm Horse;horse;horse@nds.pfadfinden.de;Stamm Horse
Stamm Leviatan;leviatan;leviatan@nds.pfadfinden.de;Stamm Leviatan
Stamm Likedeeler;likedeeler;likedeeler@nds.pfadfinden.de;Stamm Likedeeler
Stamm Lunen;lunen;lunen@nds.pfadfinden.de;Stamm Lunen
Stamm Nujakin;nujakin;nujakin@nds.pfadfinden.de;Stamm Nujakin
Stamm Ordensritter;ordensritter;ordensritter@nds.pfadfinden.de;Stamm Ordensritter
Stamm Östringen;oestringen;oestringen@nds.pfadfinden.de;Stamm Östringen
Stamm Parzival;parzival;parzival@nds.pfadfinden.de;Stamm Parzival
Stamm Rotmilan;rotmilan;rotmilan@nds.pfadfinden.de;Stamm Rotmilan
Stamm Sankt Hubertus;sankthubertus;sankthubertus@nds.pfadfinden.de;Stamm Sankt Hubertus
Stamm Sturmvogel;sturmvogel;sturmvogel@nds.pfadfinden.de;Stamm Sturmvogel
Stamm Vaganten;vaganten;vaganten@nds.pfadfinden.de;Stamm Vaganten
Stamm Voortrekker;voortrekker;voortrekker@nds.pfadfinden.de;Stamm Voortrekker
Stamm Wikinger;wikinger;wikinger@nds.pfadfinden.de;Stamm Wikinger
Stamm Wildgänse;wildgaense;wildgaense@nds.pfadfinden.de;Stamm Wildgänse
